symbol,open,high,low,close,change_percent,volume,traded_amount
KEF,10.9,10.97,10.86,10.9,-0.64,43800.0,477595.0
KHPL,800.0,818.5,800.0,810.0,0.25,4369.0,3529429.1
KKHC,335.0,352.3,311.5,352.3,10.09,552452.0,179898396.4
KMCDB,800.0,800.0,775.0,785.0,0.64,1672.0,1301265.0
KPCL,474.5,474.5,463.1,463.2,-0.6,4234.0,1963000.1
KSBBL,478.0,479.5,477.2,479.4,0.08,6615.0,3163244.8
KSY,9.11,9.11,9.11,9.11,-2.04,200.0,1822.0
LBBL,487.0,487.0,483.5,483.5,-0.72,23176.0,11246245.5
LEC,213.4,233.0,213.4,230.7,2.76,723736.0,165618986.2
LICN,775.0,778.0,775.0,778.0,0.32,1149.0,892403.5
LLBS,890.0,910.0,870.0,889.9,0.55,519.0,461304.4
LSH12,9.0,9.38,9.0,9.38,3.88,6200.0,57102.0
LSL,225.0,225.0,219.0,219.0,-0.73,83780.0,18415444.1
LUK,10.0,10.0,9.8,9.8,0.72,800.0,7980.0
LVF2,9.13,9.13,9.13,9.13,0.22,700.0,6391.0
MABEL,591.0,608.0,590.0,604.9,2.42,7838.0,4707439.91
MAKAR,415.0,422.0,408.0,420.0,2.19,45197.0,18545212.5
MANDU,815.5,833.9,809.0,833.9,2.71,6279.0,5199801.1
MATRI,800.0,814.0,800.0,814.0,1.12,202.0,162081.0
MBJC,267.0,268.0,264.1,265.1,-0.71,6137.0,1629774.9
MBL,254.5,254.5,249.0,249.0,-2.28,98080.0,24604179.0
MBLEF,10.4,10.4,10.36,10.38,-1.24,2000.0,20748.0
MCHL,280.0,288.0,277.0,280.0,0.0,4417.0,1242102.4
MDB,579.0,580.0,573.0,579.0,-0.81,16567.0,9516366.2
MEHL,288.0,288.0,275.0,279.0,-3.36,11581.0,3266665.4
MEL,212.0,212.6,209.0,211.5,-0.24,3652.0,770500.7
MEN,618.1,620.0,612.0,615.0,0.02,92372.0,56898338.4
MEPDL,400.0,456.2,400.0,456.2,15.0,220.0,97664.0
MERO,665.0,665.0,661.2,665.0,0.45,302.0,200431.0
MFIL,729.0,767.0,729.0,757.0,-1.27,20384.0,15505317.9
MHCL,311.0,315.0,310.1,311.0,-1.43,943.0,293507.2
MHL,463.5,480.0,463.5,465.0,-1.06,1564.0,729000.0
MHNL,242.1,245.0,242.1,244.9,0.37,20572.0,5023234.9
MKCL,1046.0,1050.0,991.0,1048.0,-0.38,4710.0,4883984.0
MKHC,271.0,271.8,268.4,268.5,-0.92,16650.0,4505655.3
MKHL,495.0,525.0,488.0,500.1,0.02,2856.0,1432110.1
MKJC,447.0,451.0,441.0,449.0,-0.22,4278.0,1896475.2
MLBBL,1047.1,1062.0,1045.0,1062.0,-0.05,795.0,839085.2
